"Symbol","Quantity","Mkt val","Mark","Avg price","Last","1D open P&L","1D open P&L %","Open P&L"
"LULU 1/15/2027 $150 Call","2","$4,770.00","$23.85","$56.50","$23.80","$224.00","4.93%","$6,530.00"
"LULU 1/15/2027 $180 Put","2","$9,136.00","$45.68","$22.84","$35.00","$20.00","0.22%","$4,568.00"
"LULU 1/15/2027 $200 Put","-2","-$12,240.00","$61.20","$31.17","$60.45","$14.00","0.11%","$6,007.00"
"LULU 1/21/2028 $150 Call","2","$7,680.00","$38.40","$39.15","$39.25","$180.00","2.40%","$150.00"
"LULU","450","$64,681.74","$143.74","$206.89","$143.74","$934.74","1.47%","$28,420.46"
"META 5/29 $720 Call","-1","-$1,768.00","$17.68","$14.00","$18.50","$438.00","32.93%","$368.00"
"META","220.216296","$148,685.64","$675.18","$645.10","$675.18","$3,530.07","2.43%","$6,623.53"
"NFLX 6/18 $90 Put","-1","-$284.00","$2.84","$3.15","$2.84","$6.00","2.16%","$31.00"
"NKE 1/15/2027 $50 Call","4","$1,800.00","$4.50","$18.13","$4.41","$8.00","0.45%","$5,450.00"
"NKE","110.425314","$4,947.02","$44.80","$54.93","$44.80","$2.18","0.04%","$1,119.03"
"NOW 5/15 $90 Call","-1","-$525.00","$5.25","$3.60","$5.25","$165.00","45.83%","$165.00"
"NOW 5/15 $90 Put","-1","-$485.00","$4.85","$4.50","$4.80","$320.00","39.75%","$35.00"
"NOW","100","$8,980.01","$89.80","$89.88","$89.80","$502.01","5.92%","$7.59"
"PYPL 5/15 $52.5 Call","-5","-$900.00","$1.80","$1.20","$1.80","$120.00","15.38%","$300.00"
"PYPL 1/15/2027 $50 Call","4","$3,012.00","$7.53","$16.78","$7.65","$120.00","4.15%","$3,698.00"
"PYPL 1/21/2028 $50 Call","5","$5,515.00","$11.03","$7.90","$11.00","$65.00","1.19%","$1,565.00"
"QQQ","37.317962","$24,758.98","$663.46","$528.63","$663.46","$449.31","1.85%","$5,031.76"
"SPY","12.668022","$9,045.09","$714.01","$276.35","$714.01","$70.43","0.78%","$5,544.30"
"VIG","28.369294","$6,401.53","$225.65","$156.08","$225.65","$60.71","0.94%","$1,973.76"
"VTI","189.819758","$66,870.03","$352.28","$247.72","$352.28","$471.08","0.71%","$19,848.38"
