Ticker,ExpirationYYMMDD,OptionType,Strike,Side,Quantity,Entry_Price,Target_Price,SpreadId,Spread_Target
IBIT,270115,P,40.0,Short,1,5.7,2.7,,
IBIT,271217,P,55.0,Short,1,15.63,11.7,,
PYPL,270115,P,50.0,Short,1,4.78,3.15,,
ORCL,270115,P,150.0,Short,1,17.0,13.3,,
IBIT,260618,P,55.0,Short,1,7.0,4.25,,
IBIT,260605,C,50.0,Short,2,0.51,0.09,,
ARKK,260618,C,85.0,Short,2,1.8,0.36,,
ARKK,260618,P,75.0,Short,1,2.25,0.45,,
NOW,270115,P,80.0,Short,1,12.37,9.0,,
ARKK,270115,P,70.0,Short,1,7.9,4.5,,
META,270319,P,500.0,Short,1,31.32,,META_PCS_FD_TI,16.2
META,270319,P,400.0,Long,1,11.07,,META_PCS_FD_TI,
NOW,260618,P,85.0,Short,1,3.85,0.9,,
JD,260618,C,34.0,Short,4,0.52,,,
