Ticker,ExpirationYYMMDD,OptionType,Strike,Side,Quantity,Entry_Price,Target_Price,SpreadId,Spread_Target
IBIT,270115,P,50.0,Short,9,8.96,,IBIT_PCS_1,1.8
IBIT,270115,P,45.0,Long,9,6.58,,IBIT_PCS_1,
JD,270115,P,35.0,Short,3,7.65,2.5,,
LULU,270115,C,150.0,Long,2,39.23,43.0,,
LULU,270115,P,200.0,Short,2,31.17,,LULU_PCS_1,4.95
LULU,270115,P,180.0,Long,2,22.84,,LULU_PCS_1,
NKE,270115,C,50.0,Long,4,20.38,22.5,,
IBIT,280121,C,52.0,Long,7,15.99,18.0,,
PYPL,270115,C,50.0,Long,4,16.78,11.0,,
PYPL,280121,C,50.0,Long,5,7.9,18.0,PYPL_CCS_RH,8
PYPL,270115,C,55.0,Short,5,3.40,18.0,PYPL_CCS_RH,
PYPL,270115,C,50.0,Long,4,16.78,18.0,PYPL_CCS_RH_1,12.60
PYPL,280121,C,70.0,Short,4,3.80,18.0,PYPL_CCS_RH_1,
LULU,280121,C,150.0,Long,4,36.63,40.5,,
NIO,270115,P,5.0,Short,9,0.95,0.34,,
NIO,270115,P,4.0,Short,9,0.38,0.18,,
JD,270115,P,29.0,Short,3,3.72,1.26,,
JD,280121,C,30.0,Long,9,1.92,7.20,JD_CCS_RH,2.70
JD,280121,C,35.0,Short,9,0,0.18,JD_CCS_RH,
IBIT,280121,C,40.0,Long,9,10.13,12.15,,
LULU,260821,C,140.0,Short,2,2.3,0.45,,
ORCL,260821,P,150.0,Short,1,8.30,,ORCL_PCS_RH,3.6
ORCL,260821,P,100.0,Long,1,0.0,,ORCL_PCS_RH,
ORCL,270115,P,135.0,Short,1,14.69,,ORCL_PCS_RH_LEAP,9.0
ORCL,270115,P,90.0,Long,1,0.0,,ORCL_PCS_RH_LEAP,
BABA,260918,P,115,Long,1,2.25,5.85
CRM,260821,P,125.0,Long,1,0.34,0.18
NFLX,260821,C,75.0,Short,1,1.99,0.45
RDDT,270617,P,80.0,Short,1,8.10,4.50
