id,name,from_ticker,from_qty,to_ticker,to_qty,target_gain_pct,notes
#1,MSFT-QQQ-BL-CC430-0731-0.174sh(0.768-0.594)-15CASH,QQQ,34.88,MSFT,62.662,5.0,
#1,MSFT-QQQ-BL-15CASH,QQQ,34.706,MSFT,62.662,5.02,
#2,MSFT-VTI-BL-0.96sh,VTI,40.36-0.96,MSFT,41.177,20.0,
#2,MSFT-VTI-BL,VTI,39.40,MSFT,41.177,21.0,
#3,JD-LEAP-VTI-SAMEVTI-CASH-7255-RH,VTI,60.853572,JD,900,32.0,
4,ORCL-VTI-BL+185-CC150-0821,VTI,26.211,ORCL,67.884,5.0,
5,NFLX-BRKB-RH+329-CC75-0821,BRK-B,30.08,NFLX,200,0.0,
6,META-FREL-BL,FREL,232.288,META,11.527,5.0,
#7,BRKB-QQQ-RH-IRA,QQQ,11,BRK-B,15.07,5.0,
7,BRKB-META-QQQ-RH-IRA,QQQ,13.11,META,15.69,5.0,
#9,META-QQQ-BL,QQQ,13.19,META,16.88,5.0,-- Completed
9,META-QQQ-BL,QQQ,14.382,META,17.718,5.0,
106,LONGERM-META-QQQ-ROT-RH,QQQ,279,META,358,32.0,
107,LONGERM-MSFT-QQQ-ROT-RH,QQQ,171,MSFT,358,34.0,
108,LONGERM-LULU-VTI-ROT-RH,VTI,146,LULU,450,50.0,
