id,date,ticker,strategy,event_type,qty,strike,expiry,option_type,price,fees,account_type,capital_reserved,notes,leg
32,2026-04-18,MSFT,MSFT-QQQ-BETA,Dividend (DRIP),0.336,,,,404.57,0.0,,,,
13,2026-04-15,NOW,NOW-FD-TI-80,Buy to Close (Put),1.0,80.0,2027-01-15,P,10.6,0.67,,,,
9,2026-04-14,JD,JD-BL 34,Sell Covered Call,2.0,34.0,2026-05-15,C,0.63,1.67,,,,
12,2026-04-10,NOW,NOW-FD-TI-80,Sell Cash-Secured Put,1.0,80.0,2027-01-15,P,13.6,0.67,Margin,8000.0,,
10,2026-04-08,NOW,NOW-RH-90,Sell Cash-Secured Put,1.0,90.0,2026-05-15,P,4.5,0.04,Margin,9000.0,,
11,2026-04-07,NOW,NOW-FD-TI-90,Sell Cash-Secured Put,1.0,90.0,2026-05-15,P,3.9,0.67,Margin,9000.0,,
30,2026-02-17,BRK-B,NKE-BL-Rotation,Rotate Into,45.754,,,,427.52,0.0,,,,1.0
29,2026-02-17,NKE,NKE-BL-Rotation,Rotate Out,303.104,,,,64.535,0.0,,,,1.0
31,2026-02-03,MSFT,MSFT-QQQ-BETA,Buy Stock,100.0,,,,412.32,0.01,,,,
28,2026-01-02,NKE,NKE-BL-Rotation,Dividend (DRIP),1.96,,,,63.0,0.0,,,,
25,2025-12-12,NKE,NKE-BL-Rotation,Sell Covered Call,3.0,72.5,2025-12-19,C,1.53,1.99,,,,
24,2025-11-21,NKE,NKE-BL-Rotation,Assigned (Put),1.0,72.5,2025-11-21,P,0.0,0.0,,,,
8,2025-11-12,JD,JD-BL 34,Buy to Close (Call),2.0,35.0,2025-10-17,C,0.27,0.04,,,,
6,2025-10-17,JD,JD-BL 34,Expired Worthless,2.0,35.0,2025-10-17,C,0.0,0.0,,,,
7,2025-10-17,JD,JD-BL 34,Sell Covered Call,2.0,35.0,2025-11-21,C,1.6,1.34,,,,
23,2025-10-03,NKE,NKE-BL-Rotation,Sell Cash-Secured Put,1.0,72.5,2025-11-21,P,3.05,0.67,Cash,7250.0,,
22,2025-10-03,NKE,NKE-BL-Rotation,Buy Stock,100.0,,,,72.49,0.0,,,,
27,2025-10-01,NKE,NKE-BL-Rotation,Dividend (DRIP),0.58,,,,69.32,0.0,,,,
20,2025-09-18,NKE,NKE-BL-Rotation,Buy to Close (Call),1.0,77.0,2025-09-26,C,0.16,0.02,,,,
5,2025-09-08,JD,JD-BL 34,Sell Covered Call,2.0,35.0,2025-10-17,C,0.99,1.35,,,,
4,2025-08-27,JD,JD-BL 34,Buy to Close (Call),2.0,35.0,2025-09-19,C,0.18,0.04,,,,
18,2025-08-14,NKE,NKE-BL-Rotation,Buy to Close (Call),1.0,75.0,2025-08-15,C,1.13,0.67,,,Rolled to 77 Sep 26,
19,2025-08-14,NKE,NKE-BL-Rotation,Sell Covered Call,1.0,77.0,2025-09-26,C,2.94,0.67,,,,
3,2025-08-08,JD,JD-BL 34,Sell Covered Call,2.0,35.0,2025-09-19,C,1.45,1.35,,,,
26,2025-07-01,NKE,NKE-BL-Rotation,Dividend (DRIP),0.564,,,,70.97,0.0,,,,
16,2025-06-27,NKE,NKE-BL-Rotation,Sell Covered Call,1.0,75.0,2025-08-15,C,2.25,0.68,,,,
2,2025-06-20,JD,JD-BL 34,Assigned (Put),2.0,34.0,2025-06-20,P,0.0,0.0,,,,
1,2025-04-14,JD,JD-BL 34,Sell Cash-Secured Put,2.0,34.0,2025-06-20,P,1.44,1.36,,,,
15,2025-03-21,NKE,NKE-BL-Rotation,Assigned (Put),1.0,72.0,2025-03-21,P,0.0,0.0,,,,
14,2025-03-14,NKE,NKE-BL-Rotation,Sell Cash-Secured Put,1.0,72.0,2025-03-21,P,3.35,0.68,Cash,7200.0,,
33,2026-04-18,MSFT,MSFT-QQQ-BETA,Sell Stock,32.285,,,,428.46,0.0,,,,
